"date","week","ccLabel","day_count","lTemp","sdPos","tank","trt","water","ind","log.sdPos","log.lTemp","day_number","log.day_number"
"11/17/2019","week4","tank3_heating_yes_Black","D18",28.9148697133333,1.09544511501033,"tank3","heating","yes","Black",0.0911607783969774,3.36435598574955,18,2.89037175789616
"11/17/2019","week4","tank3_heating_no_Black","D18",33.7571738433333,12.4177292610203,"tank3","heating","no","Black",2.51912523056461,3.51919295305221,18,2.89037175789616
"11/18/2019","week4","tank3_heating_no_Black","D19",33.7571738433333,11.0317722964173,"tank3","heating","no","Black",2.40077949999674,3.51919295305221,19,2.94443897916644
"11/18/2019","week4","tank2_control_yes_Black","D19",20.0662996033333,1.30384048104053,"tank2","control","yes","Black",0.265314125531085,2.99904177128667,19,2.94443897916644
"11/18/2019","week4","tank2_control_no_Black","D19",20.8230857233333,1.22474487139159,"tank2","control","no","Black",0.202732554054082,3.036062261779,19,2.94443897916644
"11/18/2019","week4","tank1_control_yes_Black","D19",19.5212564733333,2.94957624075053,"tank1","control","yes","Black",1.08166151283027,2.97150394742431,19,2.94443897916644
"11/19/2019","week4","tank4_heating_no_Black","D20",34.6203722033333,3.03315017762062,"tank4","heating","no","Black",1.1096017420275,3.54444230079753,20,2.99573227355399
"11/19/2019","week4","tank3_heating_no_Black","D20",34.34311034,9.98999499499374,"tank3","heating","no","Black",2.30158409165871,3.53640142620751,20,2.99573227355399
"11/19/2019","week4","tank2_control_yes_Black","D20",20.2023734166667,1.14017542509914,"tank2","control","yes","Black",0.131182132233746,3.00580009337965,20,2.99573227355399
"11/15/2019","week4","tank4_heating_yes_White","D16",26.84340016,8.98331787259028,"tank4","heating","yes","White",2.19536928763795,3.29001998664326,16,2.77258872223978
"11/15/2019","week4","tank3_heating_yes_White","D16",28.0551351533333,6.54217089351845,"tank3","heating","yes","White",1.87826905129388,3.33417168663326,16,2.77258872223978
"11/15/2019","week4","tank3_heating_no_White","D16",31.09324398,1.14017542509914,"tank3","heating","no","White",0.131182132233746,3.43699056021639,16,2.77258872223978
"11/15/2019","week4","tank2_control_yes_White","D16",19.20125893,1.09544511501033,"tank2","control","yes","White",0.0911607783969774,2.954975846155,16,2.77258872223978
"11/15/2019","week4","tank1_control_yes_White","D16",18.8128454266667,2.30217288664427,"tank1","control","yes","White",0.833853410279038,2.93453990389091,16,2.77258872223978
"11/15/2019","week4","tank1_control_no_White","D16",18.45171211,1.22474487139159,"tank1","control","no","White",0.202732554054082,2.91515716347111,16,2.77258872223978
"11/16/2019","week4","tank4_heating_no_White","D17",34.5851662366667,1.14017542509914,"tank4","heating","no","White",0.131182132233746,3.54342486865273,17,2.83321334405622
"11/16/2019","week4","tank2_control_yes_White","D17",20.0662996033333,1.14017542509914,"tank2","control","yes","White",0.131182132233746,2.99904177128667,17,2.83321334405622
"11/16/2019","week4","tank1_control_yes_White","D17",19.5212564733333,1.51657508881031,"tank1","control","yes","White",0.416454561467552,2.97150394742431,17,2.83321334405622
"11/17/2019","week4","tank4_heating_no_White","D18",34.5851662366667,1.34164078649987,"tank4","heating","no","White",0.29389333245106,3.54342486865273,18,2.89037175789616
"11/17/2019","week4","tank3_heating_no_White","D18",33.7571738433333,1.30384048104053,"tank3","heating","no","White",0.265314125531085,3.51919295305221,18,2.89037175789616
"11/18/2019","week4","tank3_heating_yes_White","D19",28.9148697133333,4.32434966208793,"tank3","heating","yes","White",1.46426176193027,3.36435598574955,19,2.94443897916644
"11/18/2019","week4","tank3_heating_no_White","D19",33.7571738433333,1.48323969741913,"tank3","heating","no","White",0.394228680182135,3.51919295305221,19,2.94443897916644
"11/18/2019","week4","tank1_control_yes_White","D19",19.5212564733333,1.51657508881031,"tank1","control","yes","White",0.416454561467552,2.97150394742431,19,2.94443897916644
"11/19/2019","week4","tank4_heating_no_White","D20",34.6203722033333,2.19089023002066,"tank4","heating","no","White",0.784307958956923,3.54444230079753,20,2.99573227355399
